"subno","sayold","isold"
53,1,0
53,1,1
53,1,1
53,1,1
53,1,0
53,1,1
53,1,0
53,0,0
53,0,1
53,0,1
53,0,1
53,0,0
53,0,1
53,1,0
53,1,1
53,0,1
53,0,0
53,0,0
53,0,0
53,0,0
53,1,1
53,1,0
53,1,1
53,1,1
53,0,0
53,0,0
53,0,1
53,0,0
53,0,1
53,0,0
53,0,0
53,0,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,0
53,0,0
53,1,1
53,0,0
53,0,0
53,1,0
53,0,0
53,0,0
53,1,1
53,1,0
53,1,0
53,0,0
53,0,0
53,0,1
53,0,1
53,1,0
53,0,0
53,0,0
53,0,1
53,0,1
53,0,0
53,1,1
53,1,1
53,1,0
53,1,0
53,1,1
53,0,0
53,0,0
53,1,1
53,0,0
53,1,0
53,1,0
53,0,1
53,0,0
53,0,1
53,1,0
53,1,0
53,0,1
53,0,0
53,0,1
53,1,0
53,0,1
53,0,0
53,1,1
53,1,1
53,0,1
53,1,1
53,1,1
53,1,1
53,0,1
53,0,0
53,0,0
53,0,1
53,0,0
53,1,0
53,1,0
53,0,0
53,1,1
53,0,1
53,1,1
53,0,0
53,0,0
53,0,1
53,1,0
54,1,0
54,0,1
54,1,1
54,1,1
54,0,0
54,0,1
54,0,0
54,0,0
54,1,1
54,0,1
54,1,1
54,0,0
54,1,1
54,0,0
54,0,1
54,0,1
54,0,0
54,0,0
54,0,0
54,0,0
54,1,1
54,0,0
54,1,1
54,1,1
54,0,0
54,1,0
54,1,1
54,0,0
54,0,1
54,0,0
54,0,0
54,1,1
54,0,1
54,1,1
54,0,1
54,1,1
54,0,0
54,0,0
54,0,1
54,0,0
54,0,0
54,0,0
54,1,0
54,0,0
54,1,1
54,1,0
54,0,0
54,0,0
54,1,0
54,0,1
54,1,1
54,0,0
54,1,0
54,0,0
54,0,1
54,0,1
54,0,0
54,1,1
54,1,1
54,0,0
54,0,0
54,1,1
54,1,0
54,0,0
54,1,1
54,0,0
54,1,0
54,1,0
54,1,1
54,0,0
54,1,1
54,0,0
54,0,0
54,1,1
54,0,0
54,1,1
54,1,0
54,1,1
54,1,0
54,0,1
54,1,1
54,1,1
54,0,1
54,0,1
54,0,1
54,0,1
54,0,0
54,1,0
54,1,1
54,1,0
54,0,0
54,0,0
54,1,0
54,0,1
54,1,1
54,0,1
54,0,0
54,0,0
54,1,1
54,0,0
55,0,0
55,1,1
55,1,1
55,0,1
55,1,0
55,1,1
55,0,0
55,0,0
55,1,1
55,1,1
55,1,1
55,0,0
55,0,1
55,1,0
55,1,1
55,0,1
55,0,0
55,0,0
55,0,0
55,0,0
55,0,1
55,1,0
55,1,1
55,1,1
55,0,0
55,0,0
55,1,1
55,0,0
55,0,1
55,1,0
55,0,0
55,1,1
55,1,1
55,1,1
55,1,1
55,0,1
55,0,0
55,1,0
55,1,1
55,1,0
55,0,0
55,0,0
55,0,0
55,0,0
55,1,1
55,1,0
55,0,0
55,0,0
55,0,0
55,0,1
55,1,1
55,1,0
55,0,0
55,0,0
55,1,1
55,1,1
55,1,0
55,0,1
55,1,1
55,1,0
55,0,0
55,0,1
55,0,0
55,0,0
55,0,1
55,0,0
55,1,0
55,1,0
55,0,1
55,0,0
55,1,1
55,1,0
55,0,0
55,1,1
55,0,0
55,1,1
55,1,0
55,1,1
55,1,0
55,1,1
55,1,1
55,1,1
55,1,1
55,0,1
55,1,1
55,0,1
55,0,0
55,0,0
55,0,1
55,0,0
55,0,0
55,0,0
55,1,0
55,1,1
55,0,1
55,0,1
55,0,0
55,0,0
55,1,1
55,1,0
56,0,0
56,0,1
56,1,1
56,1,1
56,1,0
56,1,1
56,0,0
56,0,0
56,1,1
56,1,1
56,1,1
56,0,0
56,1,1
56,0,0
56,1,1
56,1,1
56,1,0
56,0,0
56,0,0
56,0,0
56,1,1
56,0,0
56,0,1
56,1,1
56,1,0
56,0,0
56,1,1
56,0,0
56,1,1
56,0,0
56,0,0
56,1,1
56,1,1
56,1,1
56,0,1
56,1,1
56,0,0
56,1,0
56,1,1
56,1,0
56,0,0
56,0,0
56,0,0
56,0,0
56,1,1
56,0,0
