,subj_idx,status,runid,condition,cue,coherence,image_index,stim,response,rt,accuracy,stimulus_side,Sn_vals,med_dists,Outliers
0,1,outside,1,1,valid,high,19,1,1,0.529205722210463,1,0,0.090001,0.110997346635486,False
1,1,outside,1,2,invalid,high,12,0,0,0.519501239605233,1,0,0.090001,0.10525037536353998,False
2,1,outside,1,2,invalid,high,20,1,1,0.611203617432693,1,0,0.090001,0.17816424239754297,False
3,1,outside,1,1,valid,high,5,0,0,0.46508939213890704,1,0,0.090001,0.08234462143263999,False
4,1,outside,1,1,valid,high,13,0,0,0.36716614689794397,1,1,0.090001,0.08028948170249395,False
5,1,outside,1,4,invalid,low,38,0,0,0.47330025812152604,1,0,0.090001,0.08468841190006104,False
6,1,outside,1,1,valid,high,32,1,1,0.267344980935377,1,1,0.090001,0.16929568035266096,False
7,1,outside,1,1,valid,high,3,0,0,0.368247107484422,1,0,0.090001,0.07981167704383502,False
8,1,outside,1,3,valid,low,67,1,1,0.624751614968773,1,1,0.090001,0.19117405101315,False
9,1,outside,1,2,invalid,high,36,1,1,0.35996525622431397,1,0,0.090001,0.08233530169127307,False
10,1,outside,1,3,valid,low,68,1,1,0.480231821715279,1,1,0.090001,0.08558900837670103,False
11,1,outside,1,4,invalid,low,56,1,1,0.412700538012359,1,0,0.090001,0.06728442749772506,False
12,1,outside,1,3,valid,low,59,1,1,0.562817221369187,1,1,0.090001,0.13296927545525306,False
13,1,outside,1,1,valid,high,8,0,0,0.330081539026651,1,1,0.090001,0.10752180722192795,False
14,1,outside,1,1,valid,high,12,0,0,0.34541611051463394,1,0,0.090001,0.09255751755336,False
16,1,outside,1,1,valid,high,9,0,0,0.418446354888147,1,1,0.090001,0.06779183838625596,False
17,1,outside,1,2,invalid,high,6,0,0,0.596000761303003,1,1,0.090001,0.16421370469834096,False
18,1,outside,1,3,valid,low,44,0,1,0.6117402713080079,0,1,0.090001,0.17870089627285785,False
20,1,outside,1,3,valid,low,38,0,0,0.39490503492379503,1,1,0.090001,0.06753979735913201,False
21,1,outside,1,3,valid,low,41,0,0,0.626630460825254,1,0,0.090001,0.193052896869631,False
22,1,outside,1,2,invalid,high,4,0,0,0.43797362806799395,1,0,0.090001,0.07371965393031193,False
23,1,outside,1,3,valid,low,42,0,0,0.496222479583594,1,1,0.090001,0.09458636994168107,False
