"subj_idx","status","runid","condition","cue","coherence","image_index","stim","response","rt","accuracy","stimulus_side"
"001","outside","01",1,"valid","high",19,1,1,0.529205722210463,1,0
"001","outside","01",2,"invalid","high",12,0,0,0.519501239605233,1,0
"001","outside","01",2,"invalid","high",20,1,1,0.611203617432693,1,0
"001","outside","01",1,"valid","high",5,0,0,0.465089392138907,1,0
"001","outside","01",1,"valid","high",13,0,0,0.367166146897944,1,1
"001","outside","01",4,"invalid","low",38,0,0,0.473300258121526,1,0
"001","outside","01",1,"valid","high",32,1,1,0.267344980935377,1,1
"001","outside","01",1,"valid","high",3,0,0,0.368247107484422,1,0
"001","outside","01",3,"valid","low",67,1,1,0.624751614968773,1,1
"001","outside","01",2,"invalid","high",36,1,1,0.359965256224314,1,0
"001","outside","01",3,"valid","low",68,1,1,0.480231821715279,1,1
"001","outside","01",4,"invalid","low",56,1,1,0.412700538012359,1,0
"001","outside","01",3,"valid","low",59,1,1,0.562817221369187,1,1
"001","outside","01",1,"valid","high",8,0,0,0.330081539026651,1,1
"001","outside","01",1,"valid","high",12,0,0,0.345416110514634,1,0
"001","outside","01",4,"invalid","low",42,0,0,0.763944332833489,1,0
"001","outside","01",1,"valid","high",9,0,0,0.418446354888147,1,1
"001","outside","01",2,"invalid","high",6,0,0,0.596000761303003,1,1
"001","outside","01",3,"valid","low",44,0,1,0.611740271308008,0,1
"001","outside","01",2,"invalid","high",35,1,1,0.857350713100459,1,0
"001","outside","01",3,"valid","low",38,0,0,0.394905034923795,1,1
"001","outside","01",3,"valid","low",41,0,0,0.626630460825254,1,0
"001","outside","01",2,"invalid","high",4,0,0,0.437973628067994,1,0
"001","outside","01",3,"valid","low",42,0,0,0.496222479583594,1,1
"001","outside","01",2,"invalid","high",19,1,1,0.494933033953203,1,0
"001","outside","01",1,"valid","high",24,1,1,0.462500454666952,1,0
"001","outside","01",4,"invalid","low",43,0,0,0.476273919777668,1,0
"001","outside","01",4,"invalid","low",57,1,1,0.589189884125517,1,1
"001","outside","01",3,"valid","low",45,0,0,0.562022659958529,1,0
"001","outside","01",1,"valid","high",35,1,1,0.325435324704813,1,1
"001","outside","01",4,"invalid","low",58,1,1,0.53137707010319,1,0
"001","outside","01",4,"invalid","low",45,0,0,0.508483074072501,1,1
"001","outside","01",3,"valid","low",51,0,0,0.575477497402971,1,0
"001","outside","01",2,"invalid","high",10,0,0,0.564002378449004,1,1
"001","outside","01",3,"valid","low",57,1,1,0.427341863574839,1,1
"001","outside","01",2,"invalid","high",25,1,1,0.441126161080319,1,0
"001","outside","01",3,"valid","low",48,0,0,0.36227074519411,1,0
"001","outside","01",1,"valid","high",22,1,1,0.724012994396617,1,0
"001","outside","01",2,"invalid","high",13,0,0,0.513516231798349,1,0
"001","outside","01",3,"valid","low",39,0,0,0.855185555148637,1,1
"001","outside","01",1,"valid","high",15,0,0,0.563796577867834,1,0
"001","outside","01",2,"invalid","high",32,1,1,0.448695830871657,1,0
"001","outside","01",2,"invalid","high",28,1,1,0.471782147944396,1,1
"001","outside","01",4,"invalid","low",39,0,0,0.45505317054085,1,0
"001","outside","01",2,"invalid","high",26,1,1,0.422024794592289,1,1
"001","outside","01",1,"valid","high",27,1,1,0.363193655808573,1,1
"001","outside","01",4,"invalid","low",54,0,0,0.442300557915587,1,1
"001","outside","01",1,"valid","high",31,1,1,0.821522792437463,1,0
"001","outside","01",2,"invalid","high",17,0,0,0.431269407938089,1,0
"001","outside","01",4,"invalid","low",50,0,0,0.457648171070105,1,1
"001","outside","01",2,"invalid","high",30,1,1,0.373188535673762,1,1
"001","outside","01",4,"invalid","low",40,0,0,0.314468773518456,1,0
"001","outside","01",1,"valid","high",33,1,1,0.280092846613115,1,1
"001","outside","01",4,"invalid","low",72,1,1,0.579081784086156,1,0
"001","outside","01",4,"invalid","low",44,0,0,0.378711867990205,1,1
"001","outside","01",3,"valid","low",63,1,1,0.510849365269678,1,1
"001","outside","01",2,"invalid","high",21,1,1,0.409418822344378,1,0
"001","outside","01",4,"invalid","low",59,1,1,0.512303414045164,1,0
"001","outside","01",1,"valid","high",25,1,1,0.342887855849767,1,1
"001","outside","01",4,"invalid","low",64,1,1,0.430861175416794,1,1
"001","outside","01",1,"valid","high",17,0,0,0.376790506104953,1,1
"001","outside","01",1,"valid","high",34,1,1,0.302312868134322,1,1
"001","outside","01",3,"valid","low",52,0,0,0.445477387935171,1,0
"001","outside","01",4,"invalid","low",60,1,1,0.590993104735389,1,1
"001","outside","01",2,"invalid","high",29,1,1,0.450279079719621,1,0
"001","outside","01",4,"invalid","low",52,0,0,0.458065171013004,1,1
"001","outside","01",4,"invalid","low",55,1,1,0.712631227102975,1,1
"001","outside","01",4,"invalid","low",41,0,0,0.523430523022398,1,0
"001","outside","01",3,"valid","low",70,1,1,0.593686425298074,1,0
"001","outside","01",2,"invalid","high",31,1,1,0.379177802795311,1,1
