subj_idx,status,runid,condition,cue,coherence,image_index,stim,rt,response,stimulus_side
1,outside,1,1,valid,high,19,1,0.529205722210463,1,0
1,outside,1,2,invalid,high,12,0,0.519501239605233,1,0
1,outside,1,2,invalid,high,20,1,0.611203617432693,1,0
1,outside,1,1,valid,high,5,0,0.46508939213890704,1,0
1,outside,1,1,valid,high,13,0,0.36716614689794397,1,1
1,outside,1,4,invalid,low,38,0,0.47330025812152604,1,0
1,outside,1,1,valid,high,32,1,0.267344980935377,1,1
1,outside,1,1,valid,high,3,0,0.368247107484422,1,0
1,outside,1,3,valid,low,67,1,0.624751614968773,1,1
1,outside,1,2,invalid,high,36,1,0.35996525622431397,1,0
1,outside,1,3,valid,low,68,1,0.480231821715279,1,1
1,outside,1,4,invalid,low,56,1,0.412700538012359,1,0
1,outside,1,3,valid,low,59,1,0.562817221369187,1,1
1,outside,1,1,valid,high,8,0,0.330081539026651,1,1
1,outside,1,1,valid,high,12,0,0.34541611051463394,1,0
1,outside,1,4,invalid,low,42,0,0.7639443328334891,1,0
1,outside,1,1,valid,high,9,0,0.418446354888147,1,1
1,outside,1,2,invalid,high,6,0,0.596000761303003,1,1
1,outside,1,3,valid,low,44,0,0.6117402713080079,0,1
1,outside,1,2,invalid,high,35,1,0.8573507131004592,1,0
1,outside,1,3,valid,low,38,0,0.39490503492379503,1,1
1,outside,1,3,valid,low,41,0,0.626630460825254,1,0
1,outside,1,2,invalid,high,4,0,0.43797362806799395,1,0
1,outside,1,3,valid,low,42,0,0.496222479583594,1,1
1,outside,1,2,invalid,high,19,1,0.494933033953203,1,0
1,outside,1,1,valid,high,24,1,0.46250045466695205,1,0
1,outside,1,4,invalid,low,43,0,0.476273919777668,1,0
1,outside,1,4,invalid,low,57,1,0.5891898841255171,1,1
1,outside,1,3,valid,low,45,0,0.562022659958529,1,0
1,outside,1,1,valid,high,35,1,0.325435324704813,1,1
1,outside,1,4,invalid,low,58,1,0.53137707010319,1,0
1,outside,1,4,invalid,low,45,0,0.508483074072501,1,1
1,outside,1,3,valid,low,51,0,0.575477497402971,1,0
1,outside,1,2,invalid,high,10,0,0.564002378449004,1,1
1,outside,1,3,valid,low,57,1,0.427341863574839,1,1
1,outside,1,2,invalid,high,25,1,0.441126161080319,1,0
1,outside,1,3,valid,low,48,0,0.36227074519410996,1,0
1,outside,1,1,valid,high,22,1,0.7240129943966171,1,0
1,outside,1,2,invalid,high,13,0,0.513516231798349,1,0
1,outside,1,3,valid,low,39,0,0.8551855551486371,1,1
1,outside,1,1,valid,high,15,0,0.563796577867834,1,0
1,outside,1,2,invalid,high,32,1,0.44869583087165704,1,0
1,outside,1,2,invalid,high,28,1,0.471782147944396,1,1
1,outside,1,4,invalid,low,39,0,0.4550531705408499,1,0
1,outside,1,2,invalid,high,26,1,0.42202479459228903,1,1
1,outside,1,1,valid,high,27,1,0.363193655808573,1,1
1,outside,1,4,invalid,low,54,0,0.44230055791558703,1,1
1,outside,1,1,valid,high,31,1,0.821522792437463,1,0
1,outside,1,2,invalid,high,17,0,0.431269407938089,1,0
1,outside,1,4,invalid,low,50,0,0.45764817107010497,1,1
1,outside,1,2,invalid,high,30,1,0.37318853567376203,1,1
1,outside,1,4,invalid,low,40,0,0.314468773518456,1,0
1,outside,1,1,valid,high,33,1,0.280092846613115,1,1
1,outside,1,4,invalid,low,72,1,0.5790817840861561,1,0
1,outside,1,4,invalid,low,44,0,0.378711867990205,1,1
1,outside,1,3,valid,low,63,1,0.5108493652696781,1,1
1,outside,1,2,invalid,high,21,1,0.409418822344378,1,0
1,outside,1,4,invalid,low,59,1,0.512303414045164,1,0
1,outside,1,1,valid,high,25,1,0.34288785584976694,1,1
1,outside,1,4,invalid,low,64,1,0.430861175416794,1,1
1,outside,1,1,valid,high,17,0,0.3767905061049529,1,1
1,outside,1,1,valid,high,34,1,0.302312868134322,1,1
1,outside,1,3,valid,low,52,0,0.44547738793517105,1,0
1,outside,1,4,invalid,low,60,1,0.590993104735389,1,1
1,outside,1,2,invalid,high,29,1,0.450279079719621,1,0
1,outside,1,4,invalid,low,52,0,0.458065171013004,1,1
1,outside,1,4,invalid,low,55,1,0.712631227102975,1,1
1,outside,1,4,invalid,low,41,0,0.523430523022398,1,0
1,outside,1,3,valid,low,70,1,0.5936864252980739,1,0
1,outside,1,2,invalid,high,31,1,0.37917780279531105,1,1
1,outside,1,1,valid,high,18,0,0.502860894281184,1,0
1,outside,1,1,valid,high,4,0,0.667525581395239,1,1
1,outside,1,1,valid,high,21,1,0.32749530592082,1,1
1,outside,1,2,invalid,high,33,1,0.598956437799643,1,0
1,outside,1,3,valid,low,49,0,0.440674673616741,1,0
1,outside,1,4,invalid,low,63,1,0.479420213090634,0,0
1,outside,1,2,invalid,high,22,1,0.5858366010052121,1,1
1,outside,1,4,invalid,low,70,1,0.545840113947634,1,1
1,outside,1,3,valid,low,66,1,0.514252083319661,1,1
